ID,class
10240,93
10241,12
10242,9
10243,11
10244,98
10245,31
10246,3
10247,34
10248,39
10249,54
10250,83
10251,96
10252,65
10253,60
10254,20
10255,32
10256,48
10257,4
10258,9
10259,27
10260,19
10261,92
10262,71
10263,5
10264,81
10265,64
10266,42
10267,91
10268,69
10269,16
10270,21
10271,19
10272,19
10273,7
10274,47
10275,27
10276,17
10277,23
10278,23
10279,9
10280,77
10281,40
10282,1
10283,81
10284,48
10285,53
10286,37
10287,68
10288,56
10289,41
10290,61
10291,31
10292,85
10293,83
10294,7
10295,3
10296,45
10297,62
10298,45
10299,8
10300,88
10301,52
10302,34
10303,4
10304,14
10305,83
10306,27
10307,38
10308,50
10309,67
10310,46
10311,48
10312,51
10313,14
10314,84
10315,27
10316,54
10317,3
10318,21
10319,62
10320,42
10321,7
10322,19
10323,12
10324,18
10325,44
10326,45
10327,23
10328,87
10329,11
10330,27
10331,69
10332,50
10333,10
10334,55
10335,56
10336,92
10337,3
10338,29
10339,91
10340,48
10341,85
10342,7
10343,3
10344,49
10345,83
10346,22
10347,13
10348,67
10349,33
10350,31
10351,3
10352,32
10353,48
10354,60
10355,44
10356,19
10357,83
10358,64
10359,15
10360,90
10361,43
10362,88
10363,11
10364,87
10365,61
10366,5
10367,16
10368,78
10369,63
10370,25
10371,31
10372,67
10373,71
10374,15
10375,54
10376,11
10377,12
10378,5
10379,27
10380,51
10381,86
10382,5
10383,16
10384,88
10385,78
10386,33
10387,16
10388,23
10389,43
10390,43
10391,67
10392,84
10393,20
10394,70
10395,16
10396,21
10397,61
10398,55
10399,14
10400,11
10401,98
10402,39
10403,79
10404,71
10405,49
10406,19
10407,39
10408,8
10409,56
10410,65
10411,74
10412,99
10413,95
10414,33
10415,55
10416,57
10417,83
10418,1
10419,55
10420,98
10421,27
10422,63
10423,93
10424,80
10425,38
10426,15
10427,16
10428,17
10429,23
10430,91
10431,69
10432,35
10433,28
10434,3
10435,87
10436,16
10437,16
10438,22
10439,10
10440,74
10441,11
10442,17
10443,42
10444,2
10445,20
10446,19
10447,82
10448,49
10449,92
10450,78
10451,25
10452,39
10453,54
10454,44
10455,86
10456,11
10457,64
10458,16
10459,25
10460,82
10461,82
10462,21
10463,91
10464,16
10465,8
10466,16
10467,27
10468,10
10469,25
10470,60
10471,39
10472,69
10473,27
10474,19
10475,9
10476,51
10477,23
10478,80
10479,91
10480,21
10481,39
10482,39
10483,98
10484,9
10485,56
10486,40
10487,93
10488,71
10489,83
10490,71
10491,34
10492,56
10493,26
10494,51
10495,57
10496,42
10497,80
10498,51
10499,14
10500,31
10501,80
10502,67
10503,3
10504,36
10505,21
10506,17
10507,98
10508,15
10509,3
10510,57
10511,18
10512,37
10513,78
10514,39
10515,45
10516,85
10517,13
10518,12
10519,38
10520,42
10521,7
10522,9
10523,67
10524,83
10525,61
10526,93
10527,17
10528,39
10529,87
10530,20
10531,69
10532,86
10533,24
10534,28
10535,77
10536,71
10537,63
10538,98
10539,3
10540,13
10541,25
10542,61
10543,28
10544,86
10545,21
10546,52
10547,27
10548,12
10549,18
10550,8
10551,11
10552,23
10553,40
10554,25
10555,10
10556,42
10557,89
10558,50
10559,1
10560,85
10561,77
10562,55
10563,45
10564,25
10565,27
10566,8
10567,28
10568,20
10569,17
10570,17
10571,58
10572,93
10573,51
10574,15
10575,39
10576,91
10577,88
10578,27
10579,19
10580,83
10581,20
10582,23
10583,95
10584,16
10585,35
10586,31
10587,9
10588,98
10589,8
10590,27
10591,46
10592,37
10593,86
10594,83
10595,91
10596,0
10597,10
10598,40
10599,0
10600,20
10601,19
10602,40
10603,0
10604,65
10605,75
10606,27
10607,76
10608,1
10609,25
10610,6
10611,69
10612,33
10613,53
10614,34
10615,69
10616,44
10617,6
10618,61
10619,78
10620,44
10621,36
10622,8
10623,98
10624,19
10625,23
10626,15
10627,99
10628,39
10629,20
10630,67
10631,93
10632,60
10633,87
10634,40
10635,93
10636,16
10637,62
10638,55
10639,53
10640,27
10641,45
10642,48
10643,54
10644,61
10645,58
10646,83
10647,18
10648,80
10649,70
10650,11
10651,85
10652,78
10653,60
10654,74
10655,71
10656,22
10657,83
10658,27
10659,36
10660,18
10661,83
10662,93
10663,80
10664,52
10665,19
10666,86
10667,47
10668,77
10669,20
10670,38
10671,73
10672,60
10673,32
10674,56
10675,96
10676,11
10677,91
10678,48
10679,19
10680,37
10681,17
10682,81
10683,54
10684,17
10685,50
10686,73
10687,60
10688,4
10689,89
10690,9
10691,20
10692,91
10693,16
10694,61
10695,27
10696,18
10697,21
10698,14
10699,60
10700,38
10701,7
10702,5
10703,17
10704,45
10705,31
10706,69
10707,0
10708,17
10709,79
10710,13
10711,77
10712,15
10713,65
10714,47
10715,63
10716,26
10717,0
10718,80
10719,88
10720,67
10721,81
10722,46
10723,39
10724,62
10725,98
10726,19
10727,5
10728,50
10729,81
10730,97
10731,48
10732,98
10733,14
10734,16
10735,5
10736,41
10737,31
10738,35
10739,69
10740,17
10741,89
10742,79
10743,80
10744,48
10745,23
10746,54
10747,9
10748,99
10749,40
10750,75
10751,27
10752,38
10753,69
10754,16
10755,57
10756,39
10757,14
10758,34
10759,43
10760,19
10761,17
10762,7
10763,16
10764,41
10765,20
10766,90
10767,36
10768,45
10769,86
10770,10
10771,91
10772,12
10773,41
10774,71
10775,33
10776,20
10777,74
10778,27
10779,39
10780,86
10781,6
10782,26
10783,78
10784,82
10785,98
10786,84
10787,71
10788,1
10789,69
10790,89
10791,35
10792,23
10793,82
10794,27
10795,43
10796,7
10797,70
10798,31
10799,71
10800,6
10801,18
10802,17
10803,0
10804,53
10805,0
10806,67
10807,81
10808,44
10809,5
10810,5
10811,19
10812,29
10813,3
10814,24
10815,42
10816,40
10817,34
10818,7
10819,13
10820,18
10821,6
10822,17
10823,39
10824,35
10825,14
10826,58
10827,67
10828,34
10829,20
10830,37
10831,69
10832,70
10833,23
10834,60
10835,56
10836,57
10837,58
10838,51
10839,29
10840,83
10841,46
10842,97
10843,21
10844,17
10845,9
10846,25
10847,67
10848,98
10849,79
10850,3
10851,73
10852,71
10853,56
10854,62
10855,6
10856,3
10857,52
10858,27
10859,4
10860,27
10861,74
10862,19
10863,5
10864,10
10865,71
10866,35
10867,73
10868,23
10869,58
10870,15
10871,54
10872,81
10873,31
10874,14
10875,40
10876,19
10877,58
10878,40
10879,19
10880,21
10881,17
10882,28
10883,31
10884,70
10885,54
10886,94
10887,8
10888,10
10889,62
10890,10
10891,58
10892,51
10893,83
10894,16
10895,50
10896,80
10897,37
10898,78
10899,16
10900,98
10901,85
10902,20
10903,89
10904,55
10905,97
10906,23
10907,5
10908,36
10909,49
10910,37
10911,54
10912,33
10913,62
10914,33
10915,66
10916,26
10917,32
10918,22
10919,54
10920,17
10921,61
10922,31
10923,41
10924,61
10925,92
10926,39
10927,22
10928,70
10929,10
10930,23
10931,29
10932,28
10933,61
10934,75
10935,99
10936,22
10937,5
10938,39
10939,23
10940,8
10941,31
10942,56
10943,41
10944,3
10945,19
10946,29
10947,91
10948,71
10949,75
10950,32
10951,25
10952,88
10953,18
10954,29
10955,15
10956,25
10957,42
10958,12
10959,52
10960,22
10961,27
10962,29
10963,3
10964,70
10965,16
10966,14
10967,18
10968,93
10969,35
10970,96
10971,13
10972,52
10973,42
10974,16
10975,63
10976,57
10977,16
10978,11
10979,86
10980,43
10981,37
10982,7
10983,13
10984,27
10985,45
10986,49
10987,7
10988,69
10989,88
10990,58
10991,1
10992,4
10993,99
10994,61
10995,84
10996,84
10997,70
10998,62
10999,0
11000,42
11001,7
11002,74
11003,63
11004,23
11005,19
11006,15
11007,40
11008,14
11009,49
11010,7
11011,63
11012,3
11013,74
11014,15
11015,11
11016,64
11017,82
11018,14
11019,25
11020,85
11021,39
11022,15
11023,5
11024,50
11025,72
11026,31
11027,2
11028,39
11029,75
11030,4
11031,14
11032,64
11033,0
11034,15
11035,50
11036,29
11037,11
11038,16
11039,27
11040,39
11041,53
11042,4
11043,55
11044,23
11045,75
11046,5
11047,17
11048,67
11049,18
11050,19
11051,78
11052,71
11053,23
11054,8
11055,25
11056,31
11057,64
11058,32
11059,98
11060,41
11061,23
11062,74
11063,55
11064,5
11065,27
11066,91
11067,42
11068,68
11069,5
11070,56
11071,29
11072,3
11073,89
11074,50
11075,18
11076,5
11077,35
11078,34
11079,89
11080,61
11081,3
11082,19
11083,17
11084,61
11085,25
11086,25
11087,36
11088,85
11089,39
11090,67
11091,41
11092,10
11093,57
11094,8
11095,57
11096,7
11097,34
11098,27
11099,57
11100,8
11101,81
11102,50
11103,1
11104,34
11105,15
11106,9
11107,91
11108,0
11109,3
11110,33
11111,19
11112,10
11113,11
11114,50
11115,27
11116,19
11117,54
11118,36
11119,3
11120,5
11121,69
11122,45
11123,40
11124,40
11125,82
11126,6
11127,33
11128,56
11129,59
11130,11
11131,23
11132,27
11133,27
11134,77
11135,42
11136,38
11137,8
11138,11
11139,86
11140,13
11141,84
11142,90
11143,3
11144,33
11145,4
11146,83
11147,67
11148,3
11149,25
11150,80
11151,39
11152,50
11153,89
11154,50
11155,20
11156,40
11157,5
11158,77
11159,25
11160,6
11161,71
11162,0
11163,56
11164,86
11165,3
11166,0
11167,90
11168,73
11169,57
11170,22
11171,19
11172,62
11173,42
11174,55
11175,79
11176,61
11177,6
11178,99
11179,24
11180,23
11181,83
11182,72
11183,22
11184,69
11185,34
11186,29
11187,85
11188,9
11189,52
11190,45
11191,40
11192,5
11193,6
11194,64
11195,56
11196,1
11197,34
11198,47
11199,44
11200,17
11201,65
11202,27
11203,25
11204,2
11205,60
11206,82
11207,29
11208,98
11209,42
11210,89
11211,69
11212,32
11213,4
11214,86
11215,61
11216,90
11217,20
11218,52
11219,99
11220,12
11221,31
11222,82
11223,55
11224,64
11225,38
11226,63
11227,16
11228,69
11229,15
11230,37
11231,50
11232,7
11233,68
11234,25
11235,62
11236,12
11237,97
11238,68
11239,18
11240,37
11241,85
11242,31
11243,0
11244,25
11245,1
11246,14
11247,97
11248,3
11249,17
11250,8
11251,58
11252,70
11253,32
11254,17
11255,45
11256,41
11257,57
11258,60
11259,77
11260,90
11261,67
11262,71
11263,91
11264,62
11265,63
11266,11
11267,72
11268,16
11269,41
11270,48
11271,22
11272,3
11273,99
11274,86
11275,96
11276,70
11277,82
11278,70
11279,39
11280,51
11281,42
11282,42
11283,40
11284,63
11285,23
11286,27
11287,22
11288,45
11289,25
11290,95
11291,88
11292,24
11293,80
11294,98
11295,40
11296,50
11297,98
11298,68
11299,61
11300,6
11301,16
11302,21
11303,80
11304,49
11305,34
11306,53
11307,57
11308,65
11309,8
11310,42
11311,71
11312,79
11313,86
11314,80
11315,65
11316,0
11317,84
11318,86
11319,13
11320,45
11321,23
11322,83
11323,14
11324,1
11325,37
11326,37
11327,19
11328,18
11329,87
11330,81
11331,58
11332,7
11333,45
11334,61
11335,0
11336,67
11337,3
11338,76
11339,71
11340,23
11341,22
11342,23
11343,36
11344,16
11345,87
11346,91
11347,31
11348,42
11349,61
11350,87
11351,25
11352,34
11353,58
11354,8
11355,23
11356,62
11357,91
11358,61
11359,13
11360,15
11361,27
11362,44
11363,48
11364,40
11365,2
11366,69
11367,23
11368,19
11369,58
11370,18
11371,86
11372,46
11373,57
11374,17
11375,84
11376,63
11377,37
11378,9
11379,42
11380,22
11381,74
11382,58
11383,61
11384,71
11385,51
11386,31
11387,55
11388,54
11389,12
11390,7
11391,83
11392,61
11393,55
11394,41
11395,68
11396,7
11397,39
11398,62
11399,19
11400,29
11401,91
11402,44
11403,49
11404,35
11405,53
11406,4
11407,62
11408,44
11409,61
11410,48
11411,55
11412,55
11413,38
11414,92
11415,20
11416,17
11417,84
11418,50
11419,7
11420,36
11421,22
11422,7
11423,58
11424,39
11425,93
11426,34
11427,32
11428,86
11429,86
11430,69
11431,86
11432,95
11433,54
11434,16
11435,51
11436,31
11437,55
11438,58
11439,5
11440,23
11441,48
11442,85
11443,17
11444,38
11445,36
11446,11
11447,77
11448,69
11449,84
11450,33
11451,55
11452,71
11453,34
11454,31
11455,75
11456,21
11457,41
11458,87
11459,23
11460,17
11461,50
11462,22
11463,97
11464,14
11465,3
11466,50
11467,0
11468,94
11469,12
11470,53
11471,57
11472,53
11473,68
11474,86
11475,68
11476,16
11477,3
11478,96
11479,25
11480,88
11481,83
11482,87
11483,35
11484,16
11485,19
11486,27
11487,23
11488,74
11489,19
11490,61
11491,26
11492,15
11493,46
11494,28
11495,63
11496,76
11497,42
11498,12
11499,58
11500,91
11501,38
11502,19
11503,46
11504,35
11505,14
11506,16
11507,25
11508,98
11509,15
11510,25
11511,98
11512,20
11513,88
11514,12
11515,63
11516,16
11517,44
11518,17
11519,67
11520,41
11521,5
11522,11
11523,79
11524,36
11525,24
11526,81
11527,16
11528,5
11529,61
11530,3
11531,3
11532,26
11533,22
11534,16
11535,19
11536,44
11537,98
11538,49
11539,59
11540,0
11541,42
11542,25
11543,89
11544,18
11545,39
11546,14
11547,3
11548,16
11549,66
11550,19
11551,0
11552,1
11553,19
11554,36
11555,71
11556,45
11557,67
11558,52
11559,33
11560,53
11561,69
11562,50
11563,34
11564,19
11565,40
11566,56
11567,62
11568,23
11569,56
11570,64
11571,53
11572,55
11573,48
11574,50
11575,37
11576,37
11577,16
11578,13
11579,27
11580,35
11581,55
11582,59
11583,32
11584,37
11585,58
11586,73
11587,65
11588,45
11589,67
11590,79
11591,31
11592,18
11593,70
11594,29
11595,19
11596,71
11597,86
11598,19
11599,53
11600,29
11601,3
11602,99
11603,9
11604,44
11605,88
11606,37
11607,26
11608,10
11609,70
11610,15
11611,17
11612,34
11613,27
11614,21
11615,42
11616,4
11617,50
11618,37
11619,7
11620,91
11621,61
11622,33
11623,79
11624,75
11625,75
11626,64
11627,15
11628,49
11629,6
11630,11
11631,10
11632,39
11633,12
11634,62
11635,47
11636,12
11637,57
11638,43
11639,31
11640,11
11641,25
11642,15
11643,34
11644,22
11645,52
11646,75
11647,31
11648,61
11649,40
11650,35
11651,51
11652,17
11653,8
11654,19
11655,95
11656,90
11657,88
11658,62
11659,17
11660,80
11661,22
11662,64
11663,98
11664,3
11665,19
11666,11
11667,62
11668,55
11669,23
11670,55
11671,5
11672,36
11673,85
11674,46
11675,40
11676,88
11677,74
11678,18
11679,33
11680,79
11681,29
11682,29
11683,77
11684,37
11685,11
11686,52
11687,17
11688,84
11689,13
11690,33
11691,10
11692,56
11693,98
11694,67
11695,22
11696,36
11697,31
11698,44
11699,61
11700,39
11701,28
11702,25
11703,80
11704,54
11705,3
11706,39
11707,11
11708,93
11709,28
11710,23
11711,40
11712,91
11713,10
11714,27
11715,31
11716,69
11717,55
11718,10
11719,34
11720,82
11721,91
11722,16
11723,15
11724,23
11725,57
11726,31
11727,43
11728,61
11729,19
11730,70
11731,83
11732,67
11733,42
11734,35
11735,3
11736,21
11737,76
11738,16
11739,11
11740,69
11741,23
11742,39
11743,52
11744,60
11745,66
11746,36
11747,38
11748,50
11749,27
11750,9
11751,45
11752,31
11753,67
11754,23
11755,79
11756,2
11757,31
11758,25
11759,59
11760,99
11761,25
11762,56
11763,75
11764,59
11765,16
11766,71
11767,89
11768,89
11769,79
11770,75
11771,59
11772,6
11773,73
11774,54
11775,12
11776,73
11777,44
11778,98
11779,98
11780,86
11781,54
11782,40
11783,99
11784,58
11785,12
11786,77
11787,88
11788,33
11789,25
11790,17
11791,12
11792,16
11793,9
11794,97
11795,80
11796,37
11797,0
11798,49
11799,88
11800,3
11801,40
11802,40
11803,89
11804,36
11805,7
11806,45
11807,50
11808,16
11809,3
11810,48
11811,13
11812,60
11813,50
11814,4
11815,86
11816,34
11817,63
11818,13
11819,88
11820,87
11821,13
11822,29
11823,8
11824,76
11825,92
11826,56
11827,74
11828,21
11829,40
11830,14
11831,40
11832,40
11833,16
11834,51
11835,61
11836,37
11837,15
11838,50
11839,49
11840,81
11841,83
11842,50
11843,3
11844,19
11845,89
11846,83
11847,63
11848,42
11849,25
11850,67
11851,37
11852,95
11853,28
11854,0
11855,89
11856,42
11857,57
11858,81
11859,51
11860,27
11861,21
11862,56
11863,21
11864,4
11865,13
11866,37
11867,98
11868,99
11869,12
11870,52
11871,93
11872,61
11873,99
11874,63
11875,67
11876,16
11877,5
11878,7
11879,40
11880,71
11881,58
11882,16
11883,50
11884,44
11885,81
11886,13
11887,54
11888,27
11889,16
11890,92
11891,33
11892,67
11893,70
11894,23
11895,80
11896,84
11897,23
11898,37
11899,38
11900,56
11901,14
11902,63
11903,44
11904,98
11905,22
11906,48
11907,67
11908,88
11909,55
11910,6
11911,26
11912,85
11913,86
11914,14
11915,40
11916,5
11917,55
11918,27
11919,49
11920,56
11921,45
11922,91
11923,52
11924,31
11925,9
11926,65
11927,28
11928,58
11929,34
11930,47
11931,51
11932,60
11933,76
11934,14
11935,3
11936,12
11937,23
11938,6
11939,34
11940,13
11941,8
11942,69
11943,16
11944,97
11945,11
11946,82
11947,17
11948,97
11949,10
11950,52
11951,69
11952,37
11953,8
11954,14
11955,7
11956,44
11957,63
11958,37
11959,91
11960,98
11961,22
11962,19
11963,46
11964,98
11965,93
11966,48
11967,33
11968,40
11969,32
11970,24
11971,31
11972,19
11973,33
11974,93
11975,44
11976,83
11977,14
11978,47
11979,18
11980,2
11981,27
11982,16
11983,9
11984,6
11985,89
11986,7
11987,71
11988,21
11989,70
11990,12
11991,28
11992,86
11993,10
11994,22
11995,69
11996,97
11997,36
11998,20
11999,47
12000,25
12001,19
12002,11
12003,10
12004,21
12005,1
12006,54
12007,51
12008,57
12009,46
12010,46
12011,80
12012,39
12013,27
12014,16
12015,56
12016,12
12017,68
12018,87
12019,71
12020,90
12021,31
12022,98
12023,37
12024,70
12025,20
12026,86
12027,65
12028,3
12029,75
12030,3
12031,22
12032,88
12033,58
12034,71
12035,29
12036,69
12037,28
12038,58
12039,41
12040,19
12041,53
12042,12
12043,50
12044,84
12045,54
12046,13
12047,84
12048,61
12049,70
12050,92
12051,16
12052,13
12053,52
12054,7
12055,58
12056,3
12057,18
12058,64
12059,38
12060,20
12061,78
12062,43
12063,34
12064,14
12065,61
12066,5
12067,27
12068,54
12069,37
12070,3
12071,81
12072,50
12073,23
12074,61
12075,13
12076,0
12077,31
12078,23
12079,11
12080,44
12081,15
12082,34
12083,96
12084,23
12085,87
12086,3
12087,92
12088,17
12089,69
12090,78
12091,72
12092,8
12093,84
12094,21
12095,86
12096,19
12097,43
12098,29
12099,84
12100,33
12101,35
12102,10
12103,31
12104,46
12105,88
12106,44
12107,77
12108,93
12109,72
12110,5
12111,12
12112,12
12113,72
12114,88
12115,27
12116,40
12117,8
12118,58
12119,70
12120,70
12121,26
12122,87
12123,57
12124,31
12125,98
12126,28
12127,18
12128,52
12129,62
12130,22
12131,24
12132,48
12133,50
12134,64
12135,27
12136,19
12137,56
12138,34
12139,31
12140,4
12141,62
12142,67
12143,55
12144,62
12145,36
12146,0
12147,60
12148,34
12149,95
12150,40
12151,51
12152,54
12153,10
12154,19
12155,19
12156,1
12157,67
12158,59
12159,55
12160,44
12161,45
12162,78
12163,4
12164,51
12165,19
12166,71
12167,60
12168,98
12169,1
12170,12
12171,9
12172,5
12173,31
12174,51
12175,55
12176,6
12177,10
12178,3
12179,59
12180,74
12181,3
12182,79
12183,31
12184,45
12185,69
12186,39
12187,56
12188,33
12189,19
12190,81
12191,53
12192,97
12193,63
12194,91
12195,52
12196,15
12197,36
12198,10
12199,98
12200,86
12201,83
12202,92
12203,48
12204,64
12205,43
12206,21
12207,71
12208,52
12209,50
12210,43
12211,19
12212,83
12213,27
12214,18
12215,53
12216,36
12217,55
12218,17
12219,35
12220,45
12221,40
12222,54
12223,96
12224,51
12225,5
12226,69
12227,0
12228,11
12229,0
12230,50
12231,93
12232,70
12233,59
12234,16
12235,43
12236,19
12237,1
12238,17
12239,19
12240,86
12241,64
12242,16
12243,16
12244,62
12245,55
12246,72
12247,62
12248,71
12249,56
12250,11
12251,11
12252,31
12253,85
12254,19
12255,27
12256,82
12257,0
12258,72
12259,18
12260,99
12261,83
12262,42
12263,72
12264,6
12265,55
12266,55
12267,32
12268,50
12269,41
12270,95
12271,54
12272,33
12273,0
12274,69
12275,67
12276,19
12277,32
12278,34
12279,39
12280,50
12281,22
12282,20
12283,10
12284,8
12285,23
12286,18
12287,71
12288,44
12289,58
12290,85
12291,63
12292,62
12293,29
12294,97
12295,39
12296,47
12297,45
12298,73
12299,61
12300,99
12301,75
12302,34
12303,44
12304,58
12305,67
12306,70
12307,56
12308,72
12309,82
12310,45
12311,29
12312,45
12313,64
12314,53
12315,18
12316,3
12317,89
12318,55
12319,7
12320,87
12321,6
12322,50
12323,51
12324,48
12325,88
12326,69
12327,91
12328,28
12329,77
12330,25
12331,17
12332,71
12333,84
12334,4
12335,44
12336,16
12337,74
12338,16
12339,39
12340,18
12341,73
12342,50
12343,61
12344,59
12345,24
12346,43
12347,39
12348,44
12349,17
12350,81
12351,57
12352,81
12353,56
12354,77
12355,48
12356,31
12357,23
12358,99
12359,72
12360,78
12361,88
12362,21
12363,81
12364,54
12365,16
12366,25
12367,20
12368,57
12369,15
12370,19
12371,16
12372,3
12373,85
12374,96
12375,22
12376,70
12377,80
12378,70
12379,5
12380,39
12381,51
12382,42
12383,11
12384,82
12385,1
12386,10
12387,7
12388,59
12389,19
12390,17
12391,70
12392,19
12393,86
12394,17
12395,69
12396,32
12397,16
12398,27
12399,91
12400,40
12401,57
12402,6
12403,6
12404,56
12405,78
12406,45
12407,62
12408,88
12409,48
12410,32
12411,18
12412,4
12413,34
12414,39
12415,23
12416,83
12417,62
12418,67
12419,22
12420,58
12421,67
12422,5
12423,24
12424,96
12425,53
12426,56
12427,19
12428,3
12429,38
12430,19
12431,65
12432,80
12433,52
12434,6
12435,53
12436,28
12437,23
12438,46
12439,58
12440,75
12441,50
12442,61
12443,21
12444,51
12445,16
12446,2
12447,17
12448,33
12449,81
12450,17
12451,27
12452,36
12453,12
12454,89
12455,52
12456,25
12457,7
12458,10
12459,99
12460,53
12461,3
12462,51
12463,9
12464,31
12465,19
12466,54
12467,40
12468,39
12469,25
12470,34
12471,16
12472,86
12473,16
12474,69
12475,37
12476,42
12477,83
12478,98
12479,10
12480,64
12481,60
12482,3
12483,57
12484,61
12485,45
12486,51
12487,55
12488,11
12489,29
12490,81
12491,3
12492,11
12493,41
12494,71
12495,98
12496,58
12497,7
12498,87
12499,35
12500,48
12501,70
12502,52
12503,16
12504,0
12505,94
12506,33
12507,23
12508,18
12509,91
12510,42
12511,34
12512,64
12513,16
12514,27
12515,51
12516,58
12517,91
12518,25
12519,67
12520,22
12521,5
12522,42
12523,13
12524,34
12525,91
12526,93
12527,5
12528,99
12529,27
12530,31
12531,71
12532,39
12533,5
12534,21
12535,46
12536,19
12537,62
12538,20
12539,11
12540,17
12541,91
12542,15
12543,36
12544,40
12545,78
12546,41
12547,67
12548,51
12549,6
12550,67
12551,87
12552,39
12553,19
12554,25
12555,59
12556,71
12557,21
12558,45
12559,59
12560,89
12561,33
12562,52
12563,14
12564,20
12565,9
12566,49
12567,25
12568,88
12569,3
12570,20
12571,64
12572,34
12573,88
12574,74
12575,49
12576,48
12577,31
12578,13
12579,75
12580,50
12581,85
12582,1
12583,73
12584,77
12585,15
12586,3
12587,98
12588,4
12589,51
12590,98
12591,67
12592,37
12593,52
12594,7
12595,77
12596,28
12597,52
12598,44
12599,5
12600,23
12601,5
12602,70
12603,50
12604,67
12605,93
12606,5
12607,57
12608,45
12609,4
12610,81
12611,53
12612,89
12613,17
12614,92
12615,42
12616,93
12617,38
12618,21
12619,70
12620,99
12621,48
12622,69
12623,71
12624,49
12625,36
12626,16
12627,81
12628,43
12629,52
12630,67
12631,52
12632,19
12633,71
12634,6
12635,38
12636,51
12637,37
12638,43
12639,1
12640,14
12641,79
12642,25
12643,79
12644,35
12645,79
12646,91
12647,29
12648,90
12649,33
12650,61
12651,55
12652,12
12653,41
12654,57
12655,25
12656,43
12657,72
12658,54
12659,34
12660,77
12661,91
12662,6
12663,3
12664,4
12665,45
12666,6
12667,19
12668,19
12669,67
12670,61
12671,19
12672,35
12673,95
12674,63
12675,55
12676,81
12677,23
12678,28
12679,40
12680,16
12681,8
12682,16
12683,77
12684,39
12685,19
12686,42
12687,5
12688,48
12689,45
12690,54
12691,31
12692,18
12693,29
12694,56
12695,27
12696,17
12697,21
12698,61
12699,84
12700,33
12701,65
12702,9
12703,15
12704,66
12705,59
12706,52
12707,81
12708,27
12709,20
12710,9
12711,51
12712,71
12713,21
12714,16
12715,74
12716,79
12717,27
12718,43
12719,52
12720,40
12721,74
12722,48
12723,38
12724,28
12725,96
12726,87
12727,28
12728,4
12729,48
12730,26
12731,99
12732,23
12733,7
12734,35
12735,72
12736,19
12737,73
12738,40
12739,21
12740,96
12741,88
12742,37
12743,40
12744,39
12745,18
12746,86
12747,63
12748,73
12749,28
12750,16
12751,59
12752,71
12753,62
12754,32
12755,68
12756,61
12757,7
12758,6
12759,21
12760,48
12761,23
12762,42
12763,3
12764,16
12765,43
12766,8
12767,23
12768,72
12769,82
12770,19
12771,75
12772,50
12773,27
12774,5
12775,52
12776,50
12777,50
12778,12
12779,54
12780,14
12781,47
12782,65
12783,59
12784,99
12785,93
12786,31
12787,13
12788,87
12789,58
12790,10
12791,0
12792,56
12793,75
12794,9
12795,62
12796,51
12797,6
